id,title,content,author
TC_2176198,Quantexa raises $153M to build out AI-based big data tools to track risk and run investigations,Quantexa raises $153M to build out AI-based big data tools to track risk and run investigations,Quantexa raises $153M to build out AI-based big data tools to track risk and run investigations
TC_2176182,"This limited-edition Super Mario smartwatch will run you $2,150","This limited-edition Super Mario smartwatch will run you $2,150","This limited-edition Super Mario smartwatch will run you $2,150"
TC_2176491,"Eka Ventures closes $95M Impact VC fund for sustainable consumption, healthcare and society","Eka Ventures closes $95M Impact VC fund for sustainable consumption, healthcare and society","Eka Ventures closes $95M Impact VC fund for sustainable consumption, healthcare and society"
TC_2176554,Carsome Group will acquire iCar Asia in a deal worth $200M,Carsome Group will acquire iCar Asia in a deal worth $200M,Carsome Group will acquire iCar Asia in a deal worth $200M
TC_2176541,Vara raises $4.8M from investors like Go Ventures and Sequoia India’s Surge to digitize Indonesian SMEs’ payrolls,Vara raises $4.8M from investors like Go Ventures and Sequoia India’s Surge to digitize Indonesian SMEs’ payrolls,Vara raises $4.8M from investors like Go Ventures and Sequoia India’s Surge to digitize Indonesian SMEs’ payrolls
TC_2176364,Nasir Qadree just announced one of the largest debut funds for a solo VC,Nasir Qadree just announced one of the largest debut funds for a solo VC,Nasir Qadree just announced one of the largest debut funds for a solo VC
TC_2176465,Whisper Aero emerges from stealth to quiet drones and air taxis,Whisper Aero emerges from stealth to quiet drones and air taxis,Whisper Aero emerges from stealth to quiet drones and air taxis
TC_2176459,"Vaayu’s carbon tracking for retailers raises $1.6M, claims it could cut CO2 in half by 2030","Vaayu’s carbon tracking for retailers raises $1.6M, claims it could cut CO2 in half by 2030","Vaayu’s carbon tracking for retailers raises $1.6M, claims it could cut CO2 in half by 2030"
TC_2176373,"Daily Crunch: Flipkart raises $3.6 billion, setting another record for Indian startups","Daily Crunch: Flipkart raises $3.6 billion, setting another record for Indian startups","Daily Crunch: Flipkart raises $3.6 billion, setting another record for Indian startups"
TC_2176360,5 advanced-ish SEO tactics to win in 2021,5 advanced-ish SEO tactics to win in 2021,5 advanced-ish SEO tactics to win in 2021
TC_2176252,Q3 IPO cycle starts strong with Couchbase pricing and Kaltura relisting,Q3 IPO cycle starts strong with Couchbase pricing and Kaltura relisting,Q3 IPO cycle starts strong with Couchbase pricing and Kaltura relisting
TC_2172788,Bambee founder talks about entrenched fundraising challenges facing Black founders,Bambee founder talks about entrenched fundraising challenges facing Black founders,Bambee founder talks about entrenched fundraising challenges facing Black founders
TC_2176301,Papa co-founder lands seed funding for a second swing in eldercare: UpsideHōM,Papa co-founder lands seed funding for a second swing in eldercare: UpsideHōM,Papa co-founder lands seed funding for a second swing in eldercare: UpsideHōM
TC_2176259,The most important API metric is time to first call,The most important API metric is time to first call,The most important API metric is time to first call
TC_2174697,Cutting out carbon emitters with bioengineering at XTC Global Finals on July 22,Cutting out carbon emitters with bioengineering at XTC Global Finals on July 22,Cutting out carbon emitters with bioengineering at XTC Global Finals on July 22
TC_2176165,Android 12 will let you play games before they finish downloading,Android 12 will let you play games before they finish downloading,Android 12 will let you play games before they finish downloading
TC_2176145,Microsoft confirms it’s buying cybersecurity startup RiskIQ,Microsoft confirms it’s buying cybersecurity startup RiskIQ,Microsoft confirms it’s buying cybersecurity startup RiskIQ
TC_2176148,Elon Musk defends Tesla’s $2.6B acquisition of SolarCity in Delaware court,Elon Musk defends Tesla’s $2.6B acquisition of SolarCity in Delaware court,Elon Musk defends Tesla’s $2.6B acquisition of SolarCity in Delaware court
TC_2175995,Elevate Brands banks $250M to roll up third-party merchants selling on Amazon’s marketplace,Elevate Brands banks $250M to roll up third-party merchants selling on Amazon’s marketplace,Elevate Brands banks $250M to roll up third-party merchants selling on Amazon’s marketplace
TC_2176032,MSCHF drops tiny action figures of your favorite failed startup hardware,MSCHF drops tiny action figures of your favorite failed startup hardware,MSCHF drops tiny action figures of your favorite failed startup hardware
